exam_id,course,acadorg,enrollment,modality,prefdate,prefdate2,prefdate3
1-BME-3020-LEC-4327269-1,BME 3020,BMEP,60,In person,2021-03-16,2021-03-04,2021-03-18
1-BME-3020-LEC-4327269-2,BME 3020,BMEP,60,In person,2021-04-15,2021-04-13,2021-04-20
1-BTRY-3020-LEC-5110152-1,BTRY 3020,BTRY,132,Online,2021-03-18,2021-03-16,2021-03-23
1-BTRY-3020-LEC-5110152-2,BTRY 3020,BTRY,132,Online,2021-04-29,2021-04-22,2021-05-04
1-BTRY-4090-LEC-1015539-1,BTRY 4090,BTRY,53,Online,2021-04-01,2021-03-30,2021-04-06
1-CEE-3230-LEC-4346885-1,CEE 3230,CEE,72,Online,2021-04-01,2021-03-30,2021-04-06
1-CHEME-3230-LEC-5204995-1,CHEME 3230,CHEME,44,In person,2021-03-16,2021-03-18,2021-03-23
1-CHEME-3230-LEC-5204995-2,CHEME 3230,CHEME,44,In person,2021-04-20,2021-04-15,2021-04-29
1-CHEME-3320-LEC-1296951-1,CHEME 3320,CHEME,42,In person,2021-03-23,2021-03-25,2021-03-18
1-CHEME-3320-LEC-1296951-2,CHEME 3320,CHEME,42,In person,2021-04-13,2021-04-15,2021-04-08
1-CHEME-3720-LEC-1010709-1,CHEME 3720,CHEME,42,In person,2021-03-18,2021-03-23,2021-03-16
1-CHEME-3720-LEC-1010709-2,CHEME 3720,CHEME,42,In person,2021-05-11,2021-05-13,2021-05-06
1-CHEME-3900-LEC-1015447-1,CHEME 3900,CHEME,42,In person,2021-04-01,2021-04-06,2021-03-30
1-CHEME-3900-LEC-1015447-2,CHEME 3900,CHEME,42,In person,2021-04-29,2021-05-04,2021-04-22
1-CHEME-7130-LEC-4999171-1,CHEME 7130,CHEME,12,In person,2021-03-18,2021-03-23,2021-03-16
1-CHEME-7130-LEC-4999171-2,CHEME 7130,CHEME,12,In person,2021-04-22,2021-04-29,2021-04-20
1-CHEM-1570-LEC-1099852-1,CHEM 1570,CHEM,207,In person,2021-03-02,2021-02-25,2021-03-04
1-CHEM-1570-LEC-1099852-2,CHEM 1570,CHEM,207,In person,2021-04-01,2021-03-30,2021-04-06
1-CHEM-1570-LEC-1099852-3,CHEM 1570,CHEM,207,In person,2021-05-04,2021-04-29,2021-05-06
1-CHEM-2090-LEC-2702986-1,CHEM 2090,CHEM,129,In person,2021-03-18,2021-03-16,2021-03-23
1-CHEM-2090-LEC-2702986-2,CHEM 2090,CHEM,129,In person,2021-04-20,2021-04-15,2021-04-22
