,AEM 2210,AEM 2225,AEM 2240,AEM 2241,AEM 2300,AEM 2770,AEM 3100,AEM 3230,AEM 3370,AEM 4280,AEM 5241,AEP 2550,AEP 3200,AEP 3620,AEP 4200,AEP 4340,AEP 4400,ANSC 2210,ANSC 3400,ASTRO 1102,BEE 2220,BEE 4530,BIOAP 3160,BIOAP 4140,BIOEE 1610,BIOEE 1780,BIOMG 2801,BIOMG 3300,BIOMG 3350,BIOMG 4320,BIOMG 6320,BIOMS 4040,BIONB 2220,BME 2110,BME 3020,BTRY 3020,BTRY 4090,CEE 3230,CHEM 1570,CHEM 2080,CHEM 2090,CHEM 2880,CHEM 3580,CHEM 3590,CHEM 3900,CHEM 4100,CHEME 3230,CHEME 3320,CHEME 3720,CHEME 3900,CHEME 7130,CS 1110,CS 1112,CS 2110,CS 2800,CS 3110,CS 3410,CS 4120,CS 4410,CS 4670,CS 4700,CS 4780,CS 4787,CS 4820,EAS 1700,EAS 3420,EAS 4550,ECE 1210,ECE 2200,ECE 4840,ECE 5745,ECON 1110,ECON 1120,ECON 3810,ENGRD 2020,ENGRD 2100,ENGRD 2700,ENGRD 3200,HADM 1350,HADM 1410,HADM 4300,HADM 4375,ILRST 2110,ILRST 3110,LATIN 1202,LATIN 2203,MAE 2030,MAE 3240,MAE 3260,MAE 4230,MAE 4510,MAE 6510,MATH 1110,MATH 1120,MATH 1340,MATH 1910,MATH 1920,MATH 2130,MATH 2210,MATH 2220,MATH 2930,MATH 2940,MATH 3110,MATH 3340,MATH 3360,MATH 4310,MATH 4740,MSE 2060,MSE 2620,MSE 3050,MSE 4610,MSE 5120,NS 2600,NS 3150,NS 3410,NTRES 1201,ORIE 3120,ORIE 3310,ORIE 3510,ORIE 4600,PAM 2030,PAM 5280,PHIL 3310,PHIL 4300,PHYS 1112,PHYS 1116,PHYS 2208,PHYS 2213,PHYS 2214,PHYS 2217,PHYS 2218,PHYS 3318,PHYS 4443,PSYCH 3420,STSCI 1380,STSCI 2150,BIOMI 2900
MATH 3340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5,4,4,2,0,2,0,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,38,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0
MATH 3360,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,6,8,4,7,8,1,1,7,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,86,8,1,0,0,0,0,0,0,0,0,0,5,2,1,2,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0
MATH 4310,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,2,0,6,8,3,7,5,0,5,3,4,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,4,8,60,4,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
MATH 4740,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,4,43,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MSE 2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,23,13,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
MSE 2620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,13,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
MSE 3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MSE 4610,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,10,55,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
MSE 5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NS 2600,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,1,1,0,0,3,2,0,3,0,0,6,35,0,0,21,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,124,3,7,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,19,7
NS 3150,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,1,0,0,0,2,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,77,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,9
NS 3410,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,1,3,7,4,3,1,0,0,6,0,1,0,0,0,12,8,0,1,39,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,7,2,228,0,0,0,0,0,1,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,18
NTRES 1201,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORIE 3120,8,0,0,5,1,2,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,2,0,8,0,0,0,1,0,0,0,0,0,0,0,2,0,11,21,42,20,0,14,21,22,19,1,18,3,0,0,0,1,0,0,10,9,0,0,0,27,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,7,4,0,5,2,1,0,0,0,0,0,0,0,0,0,248,45,31,7,0,0,0,0,1,0,2,3,4,0,0,0,0,1,0,1,0
ORIE 3310,1,0,0,7,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,10,2,0,6,7,2,7,1,4,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,45,115,71,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORIE 3510,0,0,0,8,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,4,6,0,5,3,1,11,2,5,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,31,71,97,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORIE 4600,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,2,0,3,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,7,24,24,58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PAM 2030,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,94,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
PAM 5280,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIL 3310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIL 4300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PHYS 1112,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,0,1,0,0,0,0,1,1,1,0,1,0,7,35,11,0,2,3,0,2,0,0,0,0,0,82,88,31,22,8,3,0,0,0,0,0,0,0,1,0,0,5,0,0,0,16,10,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,277,0,3,1,46,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,1
PHYS 1116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,4,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
PHYS 2208,4,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,2,4,2,0,0,5,3,3,13,24,18,9,3,1,0,10,0,0,5,0,0,5,11,1,1,51,3,2,13,0,0,0,0,0,5,0,9,0,0,2,0,1,2,0,0,0,0,0,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,8,1,2,4,1,1,2,0,0,0,0,0,0,1,0,4,12,42,0,2,0,0,0,2,0,0,0,0,0,335,0,0,0,0,0,0,1,0,14,18
