,Morrison Hall,Physical Sciences Building,Rockefeller Hall,Olin Hall,Baker Laboratory,White Hall,Weill Hall,Riley-Robb Hall,Plant Science Building,Warren Hall,Statler Hall Auditorium,Thurston Hall,Stocking Hall West,Ives Hall,Willard Straight Hall,Martha Van Rensselaer Hall,Morrill Hall,Frank H T Rhodes Hall,Stocking Hall,Clark Hall,McGraw Hall,Uris Hall,Biological Sciences,Upson Hall,Emerson Hall,Savage Hall,Mann Library,Snee Hall,Malott Hall,Hollister Hall,Balch Hall,Bill and Melinda Gates Hall,Martha Van Rensselaer Hall Wst,Goldwin Smith Hall,King-Shaw Hall,Mann Library Addition,Kennedy Hall,Milstein Hall,Phillips Hall,Biotechnology,Klarman Hall,Uris Library,Anabel Taylor Hall,Sibley Hall,Schwartz Ctr Performing Arts,Bailey Hall
Savage Hall,0.5992802079999999,0.08785787800000001,0.099357808,0.36962591,0.093400447,0.273657563,0.23476868,0.528299281,0.185496385,0.156967475,0.307915015,0.441246564,0.48603469899999996,0.178915405,0.35323147,0.07440305900000001,0.276083211,0.440777176,0.48603469899999996,0.051503045,0.271289133,0.20344071600000002,0.189726725,0.412844965,0.237165846,0.0,0.20368601,0.47934605799999996,0.10387655400000001,0.453727363,0.229163473,0.327044063,0.061650175999999994,0.17841877,0.19366871300000002,0.20368601,0.117959484,0.20657074600000003,0.37251403200000005,0.24418688100000002,0.153714928,0.300732104,0.434770589,0.220372483,0.585302976,0.034583663
Mann Library,0.396914792,0.29083117399999997,0.281045316,0.475620726,0.296935164,0.47588133200000005,0.144988748,0.332883441,0.049723231,0.049320645,0.37380399999999997,0.507461554,0.282842859,0.264176053,0.49845029700000004,0.14796125,0.459544626,0.455260392,0.282842859,0.25455428399999996,0.466287612,0.320816078,0.14554642,0.458653154,0.03763864,0.20368601,0.0,0.559149079,0.20332671,0.5342161120000001,0.338380804,0.349046309,0.172621296,0.368053023,0.234275977,0.0,0.160585593,0.40787416200000004,0.41604624100000004,0.19759608899999997,0.34257804299999994,0.46956521,0.5459580820000001,0.42375588200000003,0.6603342329999999,0.195904592
Snee Hall,0.8113082540000001,0.455353336,0.39727983200000005,0.119343874,0.4749464,0.45753081,0.43337635,0.7091862040000001,0.509629951,0.546964708,0.185720634,0.057824552,0.735147523,0.31019831,0.204699291,0.5355491720000001,0.33987967700000005,0.174777483,0.735147523,0.46225486,0.395441713,0.276072361,0.414809506,0.11921481,0.562751414,0.47934605799999996,0.559149079,0.0,0.38987345,0.025788448999999998,0.693924543,0.223087383,0.535504035,0.379351636,0.32639862,0.559149079,0.414033085,0.5223584379999999,0.153253319,0.376273701,0.38463674,0.28523504,0.092501149,0.499285152,0.10600742099999999,0.44973811
Malott Hall,0.571631811,0.143158578,0.098641713,0.288893183,0.160638528,0.30254079100000003,0.164544722,0.488423923,0.163467166,0.172674217,0.210428692,0.346944104,0.46452207799999995,0.080319785,0.296996439,0.146155192,0.261758115,0.33760570700000003,0.46452207799999995,0.11982174,0.278070279,0.12330335099999999,0.115233709,0.313325144,0.224991561,0.10387655400000001,0.20332671,0.38987345,0.0,0.36408658,0.332982729,0.223444132,0.149292634,0.17955948600000002,0.090062365,0.20332671,0.046451944,0.270495555,0.271909837,0.154727359,0.155874677,0.266835512,0.35785575399999997,0.272936695,0.495557945,0.06935543200000001
Hollister Hall,0.791954776,0.430726922,0.372281682,0.096968794,0.450435326,0.438169013,0.40973604799999996,0.69016081,0.48475894799999997,0.5215476960000001,0.160530099,0.041414683,0.714003185,0.28443209,0.188395545,0.509763993,0.320779329,0.163580396,0.714003185,0.43709435799999996,0.37631800299999996,0.250540048,0.39017681600000004,0.102082425,0.538325935,0.453727363,0.5342161120000001,0.025788448999999998,0.36408658,0.0,0.668976635,0.201118892,0.509766774,0.356426979,0.30111285,0.5342161120000001,0.38840871299999996,0.500119206,0.132206034,0.35283498399999996,0.36096596799999997,0.266819998,0.08382958900000001,0.47769149899999996,0.13173345,0.42402290200000003
Balch Hall,0.704618787,0.239711704,0.29670263,0.577815457,0.22134530100000002,0.34568586799999995,0.436605355,0.660456521,0.353085425,0.294431679,0.533020376,0.66170316,0.5908700929999999,0.406620265,0.535376785,0.213686084,0.41749516700000006,0.669651669,0.5908700929999999,0.232582192,0.382917674,0.42097204,0.40067636100000004,0.6386989270000001,0.375298345,0.229163473,0.338380804,0.693924543,0.332982729,0.668976635,0.0,0.5561798729999999,0.196074535,0.33223078,0.422414716,0.338380804,0.33953451700000004,0.23476689,0.599527115,0.461301047,0.318010842,0.462589064,0.6360499479999999,0.267435916,0.798546781,0.263627697
Bill and Melinda Gates Hall,0.5938057870000001,0.34274167,0.281337906,0.185816082,0.363273666,0.43532273299999996,0.213634312,0.493099123,0.299524844,0.34648773899999996,0.07482416900000001,0.166427921,0.513064052,0.152510271,0.268826768,0.36206476600000004,0.3387521,0.114826985,0.513064052,0.33235640000000005,0.38437121399999996,0.16811022,0.20393491600000002,0.110964171,0.347028857,0.327044063,0.349046309,0.223087383,0.223444132,0.201118892,0.5561798729999999,0.0,0.36998787200000005,0.31529557199999997,0.13618802800000002,0.349046309,0.22767677100000003,0.452022175,0.07033803599999999,0.15614755,0.30500684,0.304350898,0.245091671,0.441477777,0.316390155,0.292691756
Martha Van Rensselaer Hall Wst,0.568275008,0.139351516,0.160865443,0.428249517,0.137797625,0.321601885,0.242420141,0.505164111,0.169581055,0.123300664,0.35934019100000003,0.494977615,0.453457358,0.22904266,0.41479722700000005,0.02466011,0.335222568,0.48476636100000003,0.453457358,0.105755775,0.32625643600000004,0.260939508,0.20469881399999998,0.462617664,0.20944320600000002,0.061650175999999994,0.172621296,0.535504035,0.149292634,0.509766774,0.196074535,0.36998787200000005,0.0,0.23710011,0.233888845,0.172621296,0.145609768,0.239850443,0.42112204299999995,0.265253089,0.21308874,0.36185722,0.494412371,0.25973201,0.641499973,0.085958486
Goldwin Smith Hall,0.750172605,0.102905593,0.08703831699999999,0.260009079,0.11539707199999999,0.12764099,0.341951121,0.667979883,0.33632605200000004,0.326710069,0.259052081,0.359815296,0.6413734179999999,0.18316953,0.203441265,0.25276159800000003,0.098161048,0.408563921,0.6413734179999999,0.131710245,0.09916545800000001,0.147217252,0.293148192,0.356426979,0.395958796,0.17841877,0.368053023,0.379351636,0.17955948600000002,0.356426979,0.33223078,0.31529557199999997,0.23710011,0.0,0.230797544,0.368053023,0.22524029399999998,0.145341165,0.327251213,0.320358486,0.025518544,0.132244592,0.30964477,0.128211831,0.479337765,0.173663622
King-Shaw Hall,0.552782153,0.224911413,0.169192492,0.242757515,0.244186638,0.358432669,0.132700982,0.46057741,0.185499412,0.220798219,0.14070175099999999,0.277162588,0.454718285,0.050404198,0.28148017,0.226010966,0.290279915,0.251014373,0.454718285,0.20697672600000003,0.321047195,0.109171461,0.09594524300000001,0.235031503,0.24275276699999998,0.19366871300000002,0.234275977,0.32639862,0.090062365,0.30111285,0.422414716,0.13618802800000002,0.233888845,0.230797544,0.0,0.234275977,0.09250024400000001,0.346939701,0.192252067,0.093404684,0.212278493,0.277574334,0.312952348,0.34383545,0.429553105,0.159085014
Mann Library Addition,0.396914792,0.29083117399999997,0.281045316,0.475620726,0.296935164,0.47588133200000005,0.144988748,0.332883441,0.049723231,0.049320645,0.37380399999999997,0.507461554,0.282842859,0.264176053,0.49845029700000004,0.14796125,0.459544626,0.455260392,0.282842859,0.25455428399999996,0.466287612,0.320816078,0.14554642,0.458653154,0.03763864,0.20368601,0.0,0.559149079,0.20332671,0.5342161120000001,0.338380804,0.349046309,0.172621296,0.368053023,0.234275977,0.0,0.160585593,0.40787416200000004,0.41604624100000004,0.19759608899999997,0.34257804299999994,0.46956521,0.5459580820000001,0.42375588200000003,0.6603342329999999,0.195904592
Kennedy Hall,0.525351695,0.17827088600000002,0.141969394,0.32036186,0.193333557,0.34652380899999996,0.12381062400000001,0.44296659899999996,0.118199192,0.135632284,0.22970348399999999,0.367186023,0.41807020200000006,0.10678626699999999,0.33786653899999997,0.13493861699999998,0.30817263,0.34230062899999997,0.41807020200000006,0.14921683800000002,0.324052679,0.160568871,0.075277743,0.327256413,0.179833245,0.117959484,0.160585593,0.414033085,0.046451944,0.38840871299999996,0.33953451700000004,0.22767677100000003,0.145609768,0.22524029399999998,0.09250024400000001,0.160585593,0.0,0.306817577,0.284592444,0.126238391,0.201107292,0.312022442,0.39036110399999996,0.312283436,0.518569693,0.08634743800000001
Milstein Hall,0.804689008,0.12854679,0.177748143,0.40324335200000005,0.11499211,0.110969309,0.43056076200000004,0.734863171,0.392041319,0.35942261299999995,0.40161828899999996,0.504947799,0.690692256,0.30684576399999997,0.33414272300000003,0.26348989,0.199670557,0.551066485,0.690692256,0.160175025,0.15472472199999998,0.28574712,0.38201377799999997,0.5011598389999999,0.44269499,0.20657074600000003,0.40787416200000004,0.5223584379999999,0.270495555,0.500119206,0.23476689,0.452022175,0.239850443,0.145341165,0.346939701,0.40787416200000004,0.306817577,0.0,0.470561425,0.42504148,0.148444262,0.252475567,0.44755061,0.032889561,0.619889702,0.225929088
Phillips Hall,0.660056978,0.37364341,0.311420632,0.137406933,0.39438629,0.437093799,0.283388618,0.5585204220000001,0.36634402,0.410154452,0.069355482,0.09618356300000001,0.5820046329999999,0.19360100600000002,0.234221669,0.41603801799999995,0.329832648,0.082016299,0.5820046329999999,0.369453904,0.38076274,0.187030748,0.27050075100000004,0.042980582,0.415815857,0.37251403200000005,0.41604624100000004,0.153253319,0.271909837,0.132206034,0.599527115,0.07033803599999999,0.42112204299999995,0.327251213,0.192252067,0.41604624100000004,0.284592444,0.470561425,0.0,0.225903943,0.322237716,0.286728544,0.185817537,0.455461874,0.246422119,0.3392423
